DateTime,PAR (raw),PAR (CALC),,serial #,478
6/25/2021 21:17,9774,98.6607705,,,
6/25/2021 21:17,9776,98.81843783,,,
6/25/2021 21:17,9786,99.61056202,,,
6/25/2021 21:17,9782,99.29295322,,,
6/25/2021 21:17,9767,98.11091326,,,
6/25/2021 21:17,9777,98.89736596,,,
6/25/2021 21:17,9757,97.3307146,,,
6/25/2021 21:17,9768,98.18927627,,,
6/25/2021 21:17,9779,99.05541139,,,
6/25/2021 21:22,9746,96.47966014,,,
6/25/2021 21:22,9751,96.86557663,,,
6/25/2021 21:22,9746,96.47966014,,,
6/25/2021 21:22,9773,98.5820312,,,
6/25/2021 21:22,9747,96.55672024,,,
6/25/2021 21:22,9741,96.09528115,,,
6/25/2021 21:22,9757,97.3307146,,,
6/25/2021 21:22,9756,97.25303679,,,
6/25/2021 21:22,9768,98.18927627,,,
6/25/2021 21:22,9764,97.87619926,,,
6/25/2021 21:27,9735,95.63604725,,,
6/25/2021 21:27,9711,93.82095355,,,
6/25/2021 21:27,9728,95.10304743,,,
6/25/2021 21:27,9714,94.04594279,,,
6/25/2021 21:27,9711,93.82095355,,,
6/25/2021 21:27,9730,95.25502925,,,
6/25/2021 21:27,9703,93.2236102,,,
6/25/2021 21:27,9718,94.34676795,,,
6/25/2021 21:27,9724,94.79981087,,,
6/25/2021 21:27,9709,93.67125984,,,
6/25/2021 21:32,9496,79.02247094,,,
6/25/2021 21:32,9515,80.23034829,,,
6/25/2021 21:32,9488,78.51934721,,,
6/25/2021 21:32,9476,77.77066145,,,
6/25/2021 21:32,9451,76.23374879,,,
6/25/2021 21:32,9458,76.66099667,,,
6/25/2021 21:32,9480,78.01942679,,,
6/25/2021 21:32,9438,75.44659572,,,
6/25/2021 21:32,9360,70.89145314,,,
6/25/2021 21:32,9361,70.94807547,,,
6/25/2021 21:37,9463,76.96763895,,,
6/25/2021 21:37,9462,76.90621252,,,
6/25/2021 21:37,9465,77.09063902,,,
6/25/2021 21:37,9469,77.33722918,,,
6/25/2021 21:37,9469,77.33722918,,,
6/25/2021 21:37,9462,76.90621252,,,
6/25/2021 21:37,9454,76.41656268,,,
6/25/2021 21:37,9459,76.72222723,,,
6/25/2021 21:37,9455,76.47759801,,,
6/25/2021 21:37,9458,76.66099667,,,
6/25/2021 21:42,9263,65.60848914,,,
6/25/2021 21:42,9251,64.98290903,,,
6/25/2021 21:42,9254,65.13874261,,,
6/25/2021 21:42,9248,64.82744826,,,
6/25/2021 21:42,9247,64.77571069,,,
6/25/2021 21:42,9258,65.34710219,,,
6/25/2021 21:42,9253,65.08675661,,,
6/25/2021 21:42,9241,64.46615124,,,
6/25/2021 21:42,9240,64.41470202,,,
6/25/2021 21:42,9239,64.36329386,,,
6/25/2021 21:47,9257,65.2949499,,,
6/25/2021 21:47,9253,65.08675661,,,
6/25/2021 21:47,9255,65.19077014,,,
6/25/2021 21:47,9254,65.13874261,,,
6/25/2021 21:47,9252,65.03481209,,,
6/25/2021 21:47,9259,65.39929614,,,
6/25/2021 21:47,9259,65.39929614,,,
6/25/2021 21:47,9256,65.24283922,,,
6/25/2021 21:47,9260,65.45153177,,,
6/25/2021 21:47,9249,64.87922715,,,
6/25/2021 21:52,9121,58.57642549,,,
6/25/2021 21:52,9125,58.76379415,,,
6/25/2021 21:52,9117,58.38965425,,,
6/25/2021 21:52,9120,58.52967675,,,
6/25/2021 21:52,9125,58.76379415,,,
6/25/2021 21:52,9131,59.0459715,,,
6/25/2021 21:52,9130,58.99884802,,,
6/25/2021 21:52,9123,58.67003502,,,
6/25/2021 21:52,9122,58.62321157,,,
6/25/2021 21:52,9127,58.85770311,,,
6/25/2021 21:57,8887,48.59432533,,,
6/25/2021 21:57,8891,48.74976421,,,
6/25/2021 21:57,8895,48.90570029,,,
6/25/2021 21:57,8897,48.98385527,,,
6/25/2021 21:57,8893,48.82767,,,
6/25/2021 21:57,8887,48.59432533,,,
6/25/2021 21:57,8884,48.47807151,,,
6/25/2021 21:57,8893,48.82767,,,
6/25/2021 21:57,8896,48.94476218,,,
6/25/2021 21:57,8887,48.59432533,,,
6/25/2021 22:02,8652,40.28111717,,,
6/25/2021 22:02,8657,40.44224075,,,
6/25/2021 22:02,8659,40.50687049,,,
6/25/2021 22:02,8651,40.24896957,,,
6/25/2021 22:02,8645,40.05662203,,,
6/25/2021 22:02,8643,39.99271067,,,
6/25/2021 22:02,8646,40.088616,,,
6/25/2021 22:02,8652,40.28111717,,,
6/25/2021 22:02,8657,40.44224075,,,
6/25/2021 22:02,8657,40.44224075,,,
6/25/2021 22:07,8665,40.70138008,,,
6/25/2021 22:07,8658,40.47454272,,,
6/25/2021 22:07,8662,40.60400881,,,
6/25/2021 22:07,8675,41.02764052,,,
6/25/2021 22:07,8679,41.15887581,,,
6/25/2021 22:07,8669,40.83157175,,,
6/25/2021 22:07,8657,40.44224075,,,
6/25/2021 22:07,8659,40.50687049,,,
6/25/2021 22:07,8667,40.76642394,,,
6/25/2021 22:07,8670,40.86418469,,,
6/25/2021 22:12,8547,37.04194137,,,
6/25/2021 22:12,8556,37.30906847,,,
6/25/2021 22:12,8562,37.48822256,,,
6/25/2021 22:12,8561,37.45830391,,,
6/25/2021 22:12,8557,37.33886792,,,
6/25/2021 22:12,8553,37.21981274,,,
6/25/2021 22:12,8552,37.19010831,,,
6/25/2021 22:12,8555,37.2792928,,,
6/25/2021 22:12,8550,37.13077055,,,
6/25/2021 22:13,8545,36.98284001,,,
6/25/2021 22:17,8443,34.0904484,,,
6/25/2021 22:17,8449,34.25414702,,,
6/25/2021 22:17,8447,34.19949366,,,
6/25/2021 22:17,8438,33.95463063,,,
6/25/2021 22:17,8432,33.79236338,,,
6/25/2021 22:17,8439,33.98175083,,,
6/25/2021 22:17,8447,34.19949366,,,
6/25/2021 22:17,8447,34.19949366,,,
6/25/2021 22:17,8442,34.06324145,,,
6/25/2021 22:18,8436,33.90045515,,,
6/25/2021 22:22,8418,33.41674908,,,
