"UTCDateTime","Temperature"
2021-06-29 18:39:59,28.5041
2021-06-29 18:44:59,28.5001
2021-06-29 18:49:59,28.4866
2021-06-29 18:54:59,28.4764
2021-06-29 18:59:59,28.4653
2021-06-29 19:04:59,28.4671
2021-06-29 19:09:59,28.4703
2021-06-29 19:14:59,28.4715
2021-06-29 19:19:59,28.4729
2021-06-29 19:24:59,28.4719
2021-06-29 19:29:59,28.4718
2021-06-29 19:34:59,28.4774
2021-06-29 19:39:59,28.4652
2021-06-29 19:44:59,28.448
2021-06-29 19:49:59,28.4302
2021-06-29 19:54:59,28.4128
2021-06-29 19:59:59,28.3938
2021-06-29 20:04:59,28.3664
2021-06-29 20:09:59,28.3431
2021-06-29 20:14:59,28.3299
2021-06-29 20:19:59,28.3195
2021-06-29 20:24:59,28.3209
2021-06-29 20:29:59,28.3228
2021-06-29 20:34:59,28.3312
2021-06-29 20:39:59,28.3395
2021-06-29 20:44:59,28.3336
2021-06-29 20:49:59,28.3317
2021-06-29 20:54:59,28.3286
2021-06-29 20:59:59,28.3172
2021-06-29 21:04:59,28.3106
2021-06-29 21:09:59,28.3081
2021-06-29 21:14:59,28.3078
2021-06-29 21:19:59,28.3077
2021-06-29 21:24:59,28.3087
2021-06-29 21:29:59,28.3079
2021-06-29 21:34:59,28.3172
2021-06-29 21:39:59,28.3206
2021-06-29 21:44:59,28.3264
2021-06-29 21:49:59,28.3334
2021-06-29 21:54:59,28.3394
2021-06-29 21:59:59,28.3391
2021-06-29 22:04:59,28.3368
2021-06-29 22:09:59,28.3429
2021-06-29 22:14:59,28.342
2021-06-29 22:19:59,28.3368
2021-06-29 22:24:59,28.3328
2021-06-29 22:29:59,28.3187
2021-06-29 22:34:59,28.3022
2021-06-29 22:39:59,28.2872
2021-06-29 22:44:59,28.2753
2021-06-29 22:49:59,28.2806
2021-06-29 22:54:59,28.2803
2021-06-29 22:59:59,28.288
2021-06-29 23:04:59,28.2976
2021-06-29 23:09:59,28.3033
2021-06-29 23:14:59,28.3067
2021-06-29 23:19:59,28.3162
2021-06-29 23:24:59,28.3213
2021-06-29 23:29:59,28.3219
2021-06-29 23:34:59,28.3225
2021-06-29 23:39:59,28.3285
2021-06-29 23:44:59,28.3311
2021-06-29 23:49:59,28.335
2021-06-29 23:54:59,28.3366
2021-06-29 23:59:59,28.3372
2021-06-30 00:04:59,28.3344
2021-06-30 00:09:59,28.3287
2021-06-30 00:14:59,28.3254
2021-06-30 00:19:59,28.3188
2021-06-30 00:24:59,28.3071
2021-06-30 00:29:59,28.2971
2021-06-30 00:34:59,28.2916
2021-06-30 00:39:59,28.2815
2021-06-30 00:44:59,28.275
2021-06-30 00:49:59,28.273
2021-06-30 00:54:59,28.2714
2021-06-30 00:59:59,28.2698
2021-06-30 01:04:59,28.2674
2021-06-30 01:09:59,28.2636
2021-06-30 01:14:59,28.2625
2021-06-30 01:19:59,28.2629
2021-06-30 01:24:59,28.2629
2021-06-30 01:29:59,28.2626
2021-06-30 01:34:59,28.2615
2021-06-30 01:39:59,28.2611
2021-06-30 01:44:59,28.2605
2021-06-30 01:49:59,28.2566
2021-06-30 01:54:59,28.2563
2021-06-30 01:59:59,28.25
2021-06-30 02:04:59,28.2462
2021-06-30 02:09:59,28.2441
2021-06-30 02:14:59,28.2389
2021-06-30 02:19:59,28.2339
2021-06-30 02:24:59,28.2255
2021-06-30 02:29:59,28.2221
2021-06-30 02:34:59,28.2188
2021-06-30 02:39:59,28.2225
2021-06-30 02:44:59,28.2266
2021-06-30 02:49:59,28.2312
2021-06-30 02:54:59,28.2348
2021-06-30 02:59:59,28.2336
2021-06-30 03:04:59,28.2277
2021-06-30 03:09:59,28.2243
2021-06-30 03:14:59,28.2189
2021-06-30 03:19:59,28.2227
2021-06-30 03:24:59,28.2237
2021-06-30 03:29:59,28.2223
2021-06-30 03:34:59,28.2195
2021-06-30 03:39:59,28.2066
2021-06-30 03:44:59,28.1951
2021-06-30 03:49:59,28.171
2021-06-30 03:54:59,28.1243
2021-06-30 03:59:59,28.1082
2021-06-30 04:04:59,28.1104
2021-06-30 04:09:59,28.1168
2021-06-30 04:14:59,28.1202
2021-06-30 04:19:59,28.1229
2021-06-30 04:24:59,28.1183
2021-06-30 04:29:59,28.1009
2021-06-30 04:34:59,28.0764
2021-06-30 04:39:59,28.053
2021-06-30 04:44:59,28.0311
2021-06-30 04:49:59,28.0183
